samosa_id,order_id,samosa_name_id,quantity,order_date,order_time,order_day,unit_price,total_price,serving_size,samosa_category,samosa_ingredients,samosa_name
32,13,ckn_keema_s,2,2023-01-02,11:00:00,Monday,3.0,6.0,Single,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
33,13,cls_aloo_j,3,2023-01-02,11:00:00,Monday,2.85,8.55,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
34,13,onion_p_j,1,2023-01-02,11:00:00,Monday,2.85,2.85,Jodi (Pair),Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
35,14,onion_p_j,2,2023-01-02,12:31:00,Monday,2.85,5.7,Jodi (Pair),Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
36,14,cls_aloo_j,3,2023-01-02,12:31:00,Monday,2.85,8.55,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
37,15,piz_sam_f,3,2023-01-02,13:24:00,Monday,13.75,41.25,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
38,15,choc_lav_f,1,2023-01-02,13:24:00,Monday,13.75,13.75,Family Box,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
39,15,mut_keema_f,1,2023-01-02,13:24:00,Monday,19.25,19.25,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
40,16,but_ckn_f,3,2023-01-02,15:13:00,Monday,17.88,53.64,Family Box,Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
41,16,chs_corn_j,2,2023-01-02,15:13:00,Monday,4.27,8.54,Jodi (Pair),Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
42,16,mut_keema_f,3,2023-01-02,15:13:00,Monday,19.25,57.75,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
43,16,onion_p_s,2,2023-01-02,15:13:00,Monday,1.5,3.0,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
44,17,cls_aloo_s,2,2023-01-02,17:13:00,Monday,1.5,3.0,Single,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
45,17,ckn_keema_j,3,2023-01-02,17:13:00,Monday,5.7,17.1,Jodi (Pair),Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
46,17,mut_keema_f,1,2023-01-02,17:13:00,Monday,19.25,19.25,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
47,17,mut_keema_j,1,2023-01-02,17:13:00,Monday,6.65,6.65,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
48,18,chs_corn_s,1,2023-01-02,17:43:00,Monday,2.25,2.25,Single,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
49,18,pan_tik_f,3,2023-01-02,17:43:00,Monday,13.75,41.25,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
50,19,chow_sam_f,3,2023-01-02,19:34:00,Monday,11.0,33.0,Family Box,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
51,19,piz_sam_s,2,2023-01-02,19:34:00,Monday,2.5,5.0,Single,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
52,19,piz_sam_f,2,2023-01-02,19:34:00,Monday,13.75,27.5,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
53,19,mut_keema_j,1,2023-01-02,19:34:00,Monday,6.65,6.65,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
54,20,chow_sam_j,2,2023-01-02,21:00:00,Monday,3.8,7.6,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
55,20,cls_aloo_f,2,2023-01-02,21:00:00,Monday,8.25,16.5,Family Box,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
56,20,choc_lav_f,3,2023-01-02,21:00:00,Monday,13.75,41.25,Family Box,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
57,20,chow_sam_j,1,2023-01-02,21:00:00,Monday,3.8,3.8,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
58,21,piz_sam_f,3,2023-01-02,21:21:00,Monday,13.75,41.25,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
59,21,ckn_keema_j,2,2023-01-02,21:21:00,Monday,5.7,11.4,Jodi (Pair),Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
60,22,app_pie_f,2,2023-01-03,10:00:00,Tuesday,15.12,30.24,Family Box,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
61,22,chow_sam_f,1,2023-01-03,10:00:00,Tuesday,11.0,11.0,Family Box,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
62,22,ckn_keema_s,1,2023-01-03,10:00:00,Tuesday,3.0,3.0,Single,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
63,23,onion_p_s,1,2023-01-03,10:35:00,Tuesday,1.5,1.5,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
64,23,app_pie_s,3,2023-01-03,10:35:00,Tuesday,2.75,8.25,Single,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
65,23,mut_keema_s,2,2023-01-03,10:35:00,Tuesday,3.5,7.0,Single,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
66,24,ckn_keema_s,3,2023-01-03,10:44:00,Tuesday,3.0,9.0,Single,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
67,24,mut_keema_j,2,2023-01-03,10:44:00,Tuesday,6.65,13.3,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
68,24,piz_sam_j,3,2023-01-03,10:44:00,Tuesday,4.75,14.25,Jodi (Pair),Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
69,25,chow_sam_j,2,2023-01-03,11:33:00,Tuesday,3.8,7.6,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
70,25,piz_sam_f,2,2023-01-03,11:33:00,Tuesday,13.75,27.5,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
71,25,chs_corn_f,1,2023-01-03,11:33:00,Tuesday,12.38,12.38,Family Box,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
72,25,piz_sam_j,2,2023-01-03,11:33:00,Tuesday,4.75,9.5,Jodi (Pair),Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
73,26,app_pie_j,2,2023-01-03,13:02:00,Tuesday,5.22,10.44,Jodi (Pair),Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
74,26,chs_corn_f,3,2023-01-03,13:02:00,Tuesday,12.38,37.14,Family Box,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
75,27,pan_tik_j,3,2023-01-03,14:02:00,Tuesday,4.75,14.25,Jodi (Pair),Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
76,28,piz_sam_f,1,2023-01-03,15:55:00,Tuesday,13.75,13.75,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
77,29,onion_p_s,3,2023-01-03,17:24:00,Tuesday,1.5,4.5,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
78,29,cls_aloo_j,1,2023-01-03,17:24:00,Tuesday,2.85,2.85,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
79,29,app_pie_f,1,2023-01-03,17:24:00,Tuesday,15.12,15.12,Family Box,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
80,29,chow_sam_s,2,2023-01-03,17:24:00,Tuesday,2.0,4.0,Single,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
81,30,pan_tik_f,3,2023-01-03,19:18:00,Tuesday,13.75,41.25,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
82,31,pan_tik_f,1,2023-01-03,20:43:00,Tuesday,13.75,13.75,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
83,31,piz_sam_f,1,2023-01-03,20:43:00,Tuesday,13.75,13.75,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
84,31,pan_tik_s,3,2023-01-03,20:43:00,Tuesday,2.5,7.5,Single,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
85,31,cls_aloo_f,1,2023-01-03,20:43:00,Tuesday,8.25,8.25,Family Box,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
86,32,mut_keema_j,1,2023-01-04,10:00:00,Wednesday,6.65,6.65,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
87,33,chs_corn_s,2,2023-01-04,10:38:00,Wednesday,2.25,4.5,Single,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
88,33,mut_keema_j,3,2023-01-04,10:38:00,Wednesday,6.65,19.95,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
89,34,punjabi_j,3,2023-01-04,12:26:00,Wednesday,3.32,9.96,Jodi (Pair),Classic,"Spiced Potatoes, Cashews, Raisins, Cumin",The Punjabi Samosa
90,34,app_pie_s,1,2023-01-04,12:26:00,Wednesday,2.75,2.75,Single,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
91,34,chs_corn_f,2,2023-01-04,12:26:00,Wednesday,12.38,24.76,Family Box,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
92,34,chow_sam_s,2,2023-01-04,12:26:00,Wednesday,2.0,4.0,Single,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
93,35,cls_aloo_j,3,2023-01-04,12:58:00,Wednesday,2.85,8.55,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
94,36,pan_tik_s,3,2023-01-04,14:15:00,Wednesday,2.5,7.5,Single,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
95,37,but_ckn_j,3,2023-01-04,15:04:00,Wednesday,6.17,18.51,Jodi (Pair),Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
96,37,mut_keema_s,1,2023-01-04,15:04:00,Wednesday,3.5,3.5,Single,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
97,37,chs_corn_j,2,2023-01-04,15:04:00,Wednesday,4.27,8.54,Jodi (Pair),Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
98,38,cls_aloo_s,1,2023-01-04,16:17:00,Wednesday,1.5,1.5,Single,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
99,39,cls_aloo_f,3,2023-01-04,17:33:00,Wednesday,8.25,24.75,Family Box,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
100,39,but_ckn_j,1,2023-01-04,17:33:00,Wednesday,6.17,6.17,Jodi (Pair),Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
101,39,mut_keema_j,3,2023-01-04,17:33:00,Wednesday,6.65,19.95,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
102,39,pan_tik_f,3,2023-01-04,17:33:00,Wednesday,13.75,41.25,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
103,40,but_ckn_s,3,2023-01-04,19:11:00,Wednesday,3.25,9.75,Single,Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
104,41,mut_keema_f,3,2023-01-04,20:04:00,Wednesday,19.25,57.75,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
105,41,chow_sam_j,1,2023-01-04,20:04:00,Wednesday,3.8,3.8,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
106,41,chs_corn_s,1,2023-01-04,20:04:00,Wednesday,2.25,2.25,Single,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
107,42,chow_sam_j,1,2023-01-04,20:51:00,Wednesday,3.8,3.8,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
108,42,chow_sam_f,3,2023-01-04,20:51:00,Wednesday,11.0,33.0,Family Box,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
109,43,pan_tik_j,3,2023-01-05,10:00:00,Thursday,4.75,14.25,Jodi (Pair),Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
110,43,onion_p_s,2,2023-01-05,10:00:00,Thursday,1.5,3.0,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
111,43,app_pie_s,1,2023-01-05,10:00:00,Thursday,2.75,2.75,Single,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
112,44,ckn_keema_j,1,2023-01-05,10:47:00,Thursday,5.7,5.7,Jodi (Pair),Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
113,44,pan_tik_f,2,2023-01-05,10:47:00,Thursday,13.75,27.5,Family Box,Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
114,44,ckn_keema_f,2,2023-01-05,10:47:00,Thursday,16.5,33.0,Family Box,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
115,44,piz_sam_s,1,2023-01-05,10:47:00,Thursday,2.5,2.5,Single,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
116,45,ckn_keema_s,3,2023-01-05,12:30:00,Thursday,3.0,9.0,Single,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
117,45,piz_sam_f,2,2023-01-05,12:30:00,Thursday,13.75,27.5,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
118,45,mut_keema_j,1,2023-01-05,12:30:00,Thursday,6.65,6.65,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
119,46,mut_keema_f,3,2023-01-05,13:51:00,Thursday,19.25,57.75,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
120,47,chow_sam_s,1,2023-01-05,14:07:00,Thursday,2.0,2.0,Single,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
121,47,chs_corn_j,2,2023-01-05,14:07:00,Thursday,4.27,8.54,Jodi (Pair),Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
122,47,chow_sam_j,2,2023-01-05,14:07:00,Thursday,3.8,7.6,Jodi (Pair),Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
123,48,app_pie_j,1,2023-01-05,15:53:00,Thursday,5.22,5.22,Jodi (Pair),Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
124,48,piz_sam_s,1,2023-01-05,15:53:00,Thursday,2.5,2.5,Single,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
125,48,but_ckn_s,2,2023-01-05,15:53:00,Thursday,3.25,6.5,Single,Non-Veg,"Chicken Breast, Butter Chicken Gravy, Cream, Fenugreek",The Butter Chicken
126,49,piz_sam_s,2,2023-01-05,16:42:00,Thursday,2.5,5.0,Single,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
127,49,pan_tik_j,2,2023-01-05,16:42:00,Thursday,4.75,9.5,Jodi (Pair),Fusion,"Paneer Cubes, Tandoori Sauce, Capsicum, Onions",The Paneer Tikka
128,50,onion_p_s,3,2023-01-05,17:41:00,Thursday,1.5,4.5,Single,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
129,50,choc_lav_s,2,2023-01-05,17:41:00,Thursday,2.5,5.0,Single,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
130,51,mut_keema_j,2,2023-01-05,19:11:00,Thursday,6.65,13.3,Jodi (Pair),Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
131,51,choc_lav_j,1,2023-01-05,19:11:00,Thursday,4.75,4.75,Jodi (Pair),Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
132,51,mut_keema_f,1,2023-01-05,19:11:00,Thursday,19.25,19.25,Family Box,Non-Veg,"Minced Mutton, Mint, Peas, Cloves, Cinnamon",The Mutton Kheema
133,52,choc_lav_f,1,2023-01-05,19:32:00,Thursday,13.75,13.75,Family Box,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
134,52,app_pie_j,1,2023-01-05,19:32:00,Thursday,5.22,5.22,Jodi (Pair),Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
135,53,cls_aloo_j,2,2023-01-05,19:53:00,Thursday,2.85,5.7,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
136,53,app_pie_s,3,2023-01-05,19:53:00,Thursday,2.75,8.25,Single,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
137,53,app_pie_f,3,2023-01-05,19:53:00,Thursday,15.12,45.36,Family Box,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
138,54,piz_sam_f,2,2023-01-05,21:30:00,Thursday,13.75,27.5,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
139,54,choc_lav_s,2,2023-01-05,21:30:00,Thursday,2.5,5.0,Single,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
140,55,cls_aloo_s,1,2023-01-06,10:00:00,Friday,1.5,1.5,Single,Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
141,55,chs_corn_j,1,2023-01-06,10:00:00,Friday,4.27,4.27,Jodi (Pair),Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
142,55,app_pie_j,3,2023-01-06,10:00:00,Friday,5.22,15.66,Jodi (Pair),Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
143,56,chow_sam_s,2,2023-01-06,11:22:00,Friday,2.0,4.0,Single,Fusion,"Noodles, Soy Sauce, Cabbage, Carrots",The Chowmein Samosa
144,57,cls_aloo_j,3,2023-01-06,12:11:00,Friday,2.85,8.55,Jodi (Pair),Classic,"Potatoes, Green Peas, Spices, Ginger",The Classic Aloo
145,57,piz_sam_j,3,2023-01-06,12:11:00,Friday,4.75,14.25,Jodi (Pair),Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
146,57,onion_p_f,3,2023-01-06,12:11:00,Friday,8.25,24.75,Family Box,Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
147,57,piz_sam_s,2,2023-01-06,12:11:00,Friday,2.5,5.0,Single,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
148,58,onion_p_j,2,2023-01-06,13:05:00,Friday,2.85,5.7,Jodi (Pair),Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
149,58,ckn_keema_f,1,2023-01-06,13:05:00,Friday,16.5,16.5,Family Box,Non-Veg,"Minced Chicken, Green Chili, Garam Masala, Cilantro",The Chicken Keema
150,58,onion_p_j,1,2023-01-06,13:05:00,Friday,2.85,2.85,Jodi (Pair),Classic,"Caramelized Onions, Poha, Mild Spices",The Onion Patti
151,58,chs_corn_s,2,2023-01-06,13:05:00,Friday,2.25,4.5,Single,Fusion,"Sweet Corn, Mozzarella Cheese, Oregano, Chili Flakes",The Cheese Corn
152,59,app_pie_j,2,2023-01-06,14:48:00,Friday,5.22,10.44,Jodi (Pair),Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
153,59,app_pie_s,3,2023-01-06,14:48:00,Friday,2.75,8.25,Single,Sweet,"Stewed Apples, Cinnamon, Brown Sugar, Nutmeg",The Apple Pie Samosa
154,59,piz_sam_f,3,2023-01-06,14:48:00,Friday,13.75,41.25,Family Box,Fusion,"Marinara Sauce, Mozzarella, Olives, Bell Peppers",The Pizza Samosa
155,59,punjabi_f,3,2023-01-06,14:48:00,Friday,9.62,28.86,Family Box,Classic,"Spiced Potatoes, Cashews, Raisins, Cumin",The Punjabi Samosa
156,60,choc_lav_f,2,2023-01-06,15:52:00,Friday,13.75,27.5,Family Box,Sweet,"Dark Chocolate, Cocoa Powder, Sugar Dusting",The Choco Lava
